DATE_TIME,LONGITUDE,LATITUDE,GEOHASH,MINIMUM_SPEED,MAXIMUM_SPEED,AVERAGE_SPEED,NUMBER_OF_VEHICLES,location,new_column,Norm_MinSpeed,Norm_MaxSpeed,Norm_NumVehicles,TrafficScore,TrafficCondition
03/13/2020,28.4600830078125,41.1630249023438,sxk4pt,31,140,58,30,BURGER CENTER,,0.29347826086956524,0.5119047619047619,0.02564102564102564,0.13672957477305306,Low
03/04/2020,29.0423583984375,41.1135864257812,sxk9uu,6,82,42,70,BALCONES RECYCLING,,0.021739130434782608,0.16666666666666666,0.0796221322537112,0.36519098750220036,Low
03/03/2020,29.0423583984375,41.1135864257812,sxk9uu,6,75,33,61,BALCONES RECYCLING,,0.021739130434782608,0.125,0.06747638326585695,0.3740472628058441,Low
03/15/2020,28.4600830078125,41.1630249023438,sxk4pt,39,124,70,16,BURGER CENTER,,0.3804347826086957,0.4166666666666667,0.006747638326585695,0.12485037845449745,Low
03/14/2020,27.9766845703125,40.9872436523438,sx7cht,9,89,38,34,ELMONT,,0.05434782608695652,0.20833333333333334,0.0310391363022942,0.3250726104559057,Low
03/05/2020,27.9766845703125,40.9872436523438,sx7cht,6,78,36,21,ELMONT,,0.021739130434782608,0.14285714285714285,0.01349527665317139,0.3524957879648955,Low
03/03/2020,29.2071533203125,41.0421752929688,sxkc2x,70,160,104,44,HORNSBY BEND,,0.717391304347826,0.6309523809523809,0.044534412955465584,-0.06288191213820502,Low
03/06/2020,28.6907958984375,41.0586547851562,sxk3sf,20,133,73,387,TDS LANDFILL,,0.17391304347826086,0.47023809523809523,0.5074224021592443,0.3415900746850404,Low
03/23/2020,27.9766845703125,40.9872436523438,sx7cht,9,85,47,19,ELMONT,,0.05434782608695652,0.18452380952380953,0.010796221322537112,0.3261425931048357,Low
03/05/2020,29.0423583984375,41.1135864257812,sxk9uu,6,78,35,105,BALCONES RECYCLING,,0.021739130434782608,0.14285714285714285,0.12685560053981107,0.3865038851308874,Low
03/30/2020,29.2071533203125,41.0421752929688,sxkc2x,8,139,77,16,HORNSBY BEND,,0.043478260869565216,0.5059523809523809,0.006747638326585695,0.23284727286443538,Low
03/21/2020,29.0423583984375,41.1135864257812,sxk9uu,6,74,44,38,BALCONES RECYCLING,,0.021739130434782608,0.11904761904761904,0.03643724696356275,0.3665212362008701,Low
03/14/2020,28.6907958984375,41.0586547851562,sxk3sf,8,162,76,106,TDS LANDFILL,,0.043478260869565216,0.6428571428571429,0.1282051282051282,0.2282130912565695,Low
03/22/2020,29.0423583984375,41.1135864257812,sxk9uu,6,85,40,17,BALCONES RECYCLING,,0.021739130434782608,0.18452380952380953,0.008097165991902834,0.33837635476651495,Low
03/13/2020,27.9766845703125,40.9872436523438,sx7cht,11,92,48,14,ELMONT,,0.07608695652173914,0.2261904761904762,0.004048582995951417,0.30292264943294694,Low
03/28/2020,29.0423583984375,41.1135864257812,sxk9uu,8,68,40,37,BALCONES RECYCLING,,0.043478260869565216,0.08333333333333333,0.03508771929824561,0.36813501144164756,Low
03/22/2020,28.4600830078125,41.1630249023438,sxk4pt,6,121,55,32,BURGER CENTER,,0.021739130434782608,0.39880952380952384,0.02834008097165992,0.2801635149747278,Low
03/01/2020,29.2071533203125,41.0421752929688,sxkc2x,77,163,115,47,HORNSBY BEND,,0.7934782608695652,0.6488095238095238,0.048582995951417005,-0.0974592627052581,Low
03/06/2020,29.2071533203125,41.0421752929688,sxkc2x,76,114,95,17,HORNSBY BEND,,0.782608695652174,0.35714285714285715,0.008097165991902834,-0.017757185606155856,Low
03/23/2020,28.4600830078125,41.1630249023438,sxk4pt,25,115,51,21,BURGER CENTER,,0.22826086956521738,0.3630952380952381,0.01349527665317139,0.203815663741293,Low
03/08/2020,27.9766845703125,40.9872436523438,sx7cht,8,106,50,14,ELMONT,,0.043478260869565216,0.30952380952380953,0.004048582995951417,0.29096612769381647,Low
