name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"3200 Jones Rd, Austin, TX 78745",2020-01-27,68.9,45.3,55.5,68.9,45.3,55.5,49.4,81.4,0,0,0,,0,0,21,10,138.1,1015.2,33.6,8.2,123.7,10.7,6,,2020-01-27T07:24:48,2020-01-27T18:03:24,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,AURT2,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-01-28,72.2,50.6,58.3,72.2,50.6,58.3,47.5,70.7,0.273,100,20.83,rain,0,0,32.8,18.7,266.8,1012.8,54.6,7.7,143.1,12.4,6,,2020-01-28T07:24:19,2020-01-28T18:04:17,0.12,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"KATT,KAUS,72064800230,AURT2,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-01-29,61.7,44.3,51.6,61.7,40.5,49.6,37.4,59.4,0,0,0,,0,0,28.4,14.7,347.2,1017.7,4.3,9.9,177.3,15.6,7,,2020-01-29T07:23:49,2020-01-29T18:05:10,0.16,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,AURT2,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-01-30,49.2,43.7,46.7,48.4,39,43.6,39.5,76.1,0.007,100,4.17,rain,0,0,18.1,9,17.8,1019.7,94.9,9.6,43.5,3.7,2,,2020-01-30T07:23:17,2020-01-30T18:06:02,0.19,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"KATT,KAUS,72064800230,AURT2,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-01-31,61.5,43.7,50.6,61.5,43,49.5,37.8,63.6,0,0,0,,0,0,18.3,7.1,349.8,1021.7,52.4,9.9,149.7,12.9,7,,2020-01-31T07:22:44,2020-01-31T18:06:55,0.22,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,AURT2,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-02-01,73.2,39.1,53.6,73.2,35.4,52.4,32.8,52.2,0,0,0,,0,0,23,9.6,287.7,1024.3,8.7,9.9,181.2,15.6,7,,2020-02-01T07:22:09,2020-02-01T18:07:47,0.25,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,AURT2,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-02-02,78.6,42,59.2,78.6,42,59.1,32.8,42.2,0,0,0,,0,0,27.7,17.3,201.9,1018.9,18.5,9.9,181.3,15.6,7,,2020-02-02T07:21:33,2020-02-02T18:08:39,0.29,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,AURT2,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-02-03,72.2,55.6,64.2,72.2,55.6,64.2,55,72.4,0,0,0,,0,0,31.1,15.5,176.5,1010,55.8,9.9,66.7,5.8,3,,2020-02-03T07:20:55,2020-02-03T18:09:31,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,AURT2,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-02-04,78,47.5,64.8,78,42.4,64.1,56.7,76.1,0.001,100,4.17,rain,0,0,26.3,17.6,46.8,1008.1,68,9.5,117.3,10,5,,2020-02-04T07:20:16,2020-02-04T18:10:22,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KATT,KAUS,72064800230,AURT2,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-02-05,46.4,34.9,40.6,40.3,27.8,33.4,33.6,76.4,0.004,100,4.17,"rain,snow",0,0,31.1,17.8,344.2,1011.6,96.1,8.1,47.4,4.2,2,,2020-02-05T07:19:36,2020-02-05T18:11:13,0.38,"Snow, Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,rain,"KATT,KAUS,72064800230,AURT2,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-02-06,54.3,32.2,41.1,54.3,26.2,38,23.6,54.2,0.016,100,4.17,"rain,snow",0,0,28,11.4,310.4,1011.6,17.8,9.7,185.8,16,7,,2020-02-06T07:18:54,2020-02-06T18:12:04,0.42,"Snow, Rain",Clear conditions throughout the day with early morning snow or rain.,rain,"KATT,KAUS,72064800230,AURT2,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-02-07,74.7,34.8,53.3,74.7,34.8,53.2,28.5,42.7,0,0,0,,0,0,30.6,16.6,251.4,1012.9,12.5,9.9,186.4,16.1,7,,2020-02-07T07:18:11,2020-02-07T18:12:55,0.45,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,AURT2,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-02-08,69,41.5,56.2,69,39,55.4,41.3,57.9,0,0,0,,0,0,28.1,11.5,93.5,1019.8,60.8,9.9,87,7.4,3,,2020-02-08T07:17:27,2020-02-08T18:13:45,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,AURT2,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-02-09,72.2,62.5,67.6,72.2,62.5,67.6,64,88.2,0.062,100,29.17,rain,0,0,29.8,17.3,165.2,1014.8,98.2,7.1,23.9,2.1,1,,2020-02-09T07:16:41,2020-02-09T18:14:35,0.5,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KATT,KAUS,72064800230,AURT2,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-02-10,71.2,48,58.6,71.2,43,57.7,54.5,86.5,0.142,100,20.83,rain,0,0,25.3,17.4,3.5,1014.3,96.4,6,17,1.5,1,,2020-02-10T07:15:54,2020-02-10T18:15:25,0.55,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"KATT,KAUS,72064800230,AURT2,72254013904,72254413958,72054200166,D9418"
